User_name,Date,Comment_title,Comment_body,How many found it helpul,User rating
Mandar Joshi,Reviewed in India on 26 August 2021,The worst ever phone delivered to anyone.,"
  Bad Product returned within 3 hours of delivery
",,1.0 out of 5 stars
braj,Reviewed in India on 25 August 2021,Network problem and charging and processing very slow.,"
  Over all third class phone I ever purchased.
",,2.0 out of 5 stars
Nair,Reviewed in India on 25 August 2021,Super,"
  Very nice mobile with many features and space
",,5.0 out of 5 stars
Imran Shaikh,Reviewed in India on 25 August 2021,Value for money,"
  It is a very good phone ..just have one concern it has a fast charger however it does not charge quickly. It take 1 hr 45 to charge from 0-100% hence it is the only one concern. Other things whatsoever is mentioned is exactly the same. Hence it is fine.
",,5.0 out of 5 stars
Mallika.,Reviewed in India on 25 August 2021,Good phone after 1 week use,"
  best phone in this price range. easy to use. good battery life. reliable size to handle. Go for it if you are not a gamer
",,5.0 out of 5 stars
Subodh,Reviewed in India on 25 August 2021,Dabba,"
  Wastes of money do not buy M31
",,1.0 out of 5 stars
Lakshmi biju,Reviewed in India on 25 August 2021,6 month screen replacement scam by Acko,"
  The phone works well and is all good. Delivery was fine! but as in the title and rewards and promotion the phone comes with a promised 6 month screen replacement warranty from Acko. But when my phone broke and I registered with Acko, they had arranged a drop off at a nearby store for me. But when I went to the store, they had told me that had no connection with Acko. I contacted Acko multiple times and all those times they had told me that they'll some other person will contact me but they didn't it was really embarrassing to go to a store and then do all this! Will take further legal action against Acko if necessary!
",One person found this helpful,2.0 out of 5 stars
Rakhi,Reviewed in India on 25 August 2021,I got defective item,"
  Charging is too slow and Getting no sim card error within each hr
",,3.0 out of 5 stars
MANISH SHARMA,Reviewed in India on 25 August 2021,VFM 128 GB 6 GB smartphone,"
  VFM 128 GB 6 GB smartphone
",,5.0 out of 5 stars
PARDEEP SHARMA,Reviewed in India on 25 August 2021,Value for money.. Good phone,"
  Value for money.. Good phone
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 25 August 2021,GOOD ONE FOR THE BUDGET,"
  🔋 BATTERY IS GOOD
",,4.0 out of 5 stars
Amazon Customer,Reviewed in India on 25 August 2021,Camera not good . Phone processeser not good as expected.,"
  Camera not good . Phone processeser not good as expected.
",,3.0 out of 5 stars
Pradeep kumar,Reviewed in India on 25 August 2021,Supar,"
  I like this phone
",,4.0 out of 5 stars
Manoj More,Reviewed in India on 25 August 2021,💯💯💯,"
  Excellent Product from TRUSTED Brand in Affordable Price
",,5.0 out of 5 stars
sriniwash singh,Reviewed in India on 25 August 2021,Phone,"
  This is very good cell phone wahhh nice
",,5.0 out of 5 stars
Sourav Adhya,Reviewed in India on 25 August 2021,Good phone for this budget,"
  Good quality phone,battery backup is impressive.
",,5.0 out of 5 stars
Rajeswari R.,Reviewed in India on 25 August 2021,SAMSUNG M31,"
  Very good, working fine
",,5.0 out of 5 stars
Maggi,Reviewed in India on 25 August 2021,Samsung need to be more work on their products,"
  Battery charging time, worst part, in 1 hour it charge only, 8 to 9%, phone id is also slow, camera is ok ok.. Not to good, screen is good one.
",,3.0 out of 5 stars
Venkat_NGP,Reviewed in India on 25 August 2021,"Great Display, Camera and Battery but that's it!","
  Good:The display is good with vivid colours and detailing due to the sAMOLED display.Both the primary and secondary cameras are great and can well supplement for web cameras for board displays including wide angle shots.The battery is good and lasts more than a day even with heavy web and WhatsAppusage although haven't tested it with gaming.Sleek and cool design and the cover doesn't have the plastic feel. Good build quality compared to other products in the price rangeNot so good/could have been better:Poor functionality of the finger print sensor including non availability for selfies. Need 3rd party apps for enabling the sameUI doesn't integrate well with Android fratures causing confusion to new/switch usersSlightly slow when opening Google specific apps like driveCould have done better by enabling the screen fingerprint too and screenshots are still to be taken the traditional way of pressing buttons on the side.Dual apps function is still not Fully functional and some things like files and contacts may go missing between the twin apps.If one doesn't have reservations against Xiaomi products one should go for Poco M3 instead for better functionality
",,3.0 out of 5 stars
Nilesh Bhati,Reviewed in India on 25 August 2021,in range good mobile with features. But not camera n charging,"
  Fingerprint reader is good,battery life OK but charging is too slow,camera quality good but not as expected.
",,3.0 out of 5 stars
Naziya B.,Reviewed in India on 25 August 2021,Touch screen issue,"
  Touch screen not working frequently. Almost dead for 2 days now
",,1.0 out of 5 stars
Saeesh Pai Kakode,Reviewed in India on 25 August 2021,DISPLAY WAS NOT WORKING ON VERY FIRST DAY!!,,,1.0 out of 5 stars
arijitsil,Reviewed in India on 24 August 2021,Smooth userfriendly performance,"
  My earlier mobile set was Samsung J7 Prime which i used at a stretch of 6 years. I literally fall in love with Samsung Mobile Set. Nice performance. Userfriendly.
",,5.0 out of 5 stars
ref!,Reviewed in India on 24 August 2021,Suggested,"
   Battery lifeCameraSpeedStorage
",,4.0 out of 5 stars
Aayush Agarwal,Reviewed in India on 24 August 2021,Nice,"
  Nice
",,4.0 out of 5 stars
Amazon Customer,Reviewed in India on 24 August 2021,Good phone,"
  nice
",,4.0 out of 5 stars
Sindhura,Reviewed in India on 24 August 2021,Review,"
  Yes. I am fully satisfied with the product. Camera clarity is excellent and I did not come across any negative points
",,5.0 out of 5 stars
Vallika,Reviewed in India on 24 August 2021,Good phone in this price range.,"
  Battery life is good, lasts almost 2 days with full charging after being used for long hours. Does not hang while using multiple apps like meet etc.Camera quality is also good.
",,5.0 out of 5 stars
Frequent_Buyer,Reviewed in India on 24 August 2021,Worthit,"
  good phone
",,4.0 out of 5 stars
Ramesh Babu Vinn,Reviewed in India on 24 August 2021,Ideal cell phone,"
  Cam is good
",,5.0 out of 5 stars
Parvendra Singh,Reviewed in India on 24 August 2021,"Everything ok, but wrist experience related to display, without any damage twice get faulty","
  Everything ok, but wrist experience related to display, without any damage twice get faulty
",,5.0 out of 5 stars
Vinoth kumar,Reviewed in India on 24 August 2021,Mobile is automatically  restarting,"
  Mobile  is automatically  restarting  ,gps not working  properly, finger print sensor  is not performing good
",,4.0 out of 5 stars
Sagar chaudhari,Reviewed in India on 24 August 2021,Good,"
  Very well
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 24 August 2021,Most problematic handset I ever used.,"
  Their are many serious issues in this handset.Within 3 months it's touch screen got faulty, however got rectified.Afterwards there's issue in charging, camera, torch were not working.Finally get rid from this problematic handset
",,1.0 out of 5 stars
Garima Rathore,Reviewed in India on 24 August 2021,Very Good,"
  It's valuable phone in this price rangeSuper amoled screen .
",,5.0 out of 5 stars
saanvi.mk,Reviewed in India on 24 August 2021,Budget  and fulfilled requirements,"
  Value for money  worth with all requirements
",,5.0 out of 5 stars
G Naresh,Reviewed in India on 24 August 2021,Love you Amazon,"
  Good one
",,5.0 out of 5 stars
Munir gour,Reviewed in India on 24 August 2021,Good,"
  Good
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 24 August 2021,'Samsung' always better than any other Chinese brand!,"
  Very nice phone! The front and back cameras are great. Photographs in low light also come clear. Images captured in potarit mode is also superb. The battery also lasts all day. The display is also great. Touch is smooth and superb but There is only skepticism about stock Android because this phone Downloading apps without our permission.
",,5.0 out of 5 stars
rajeev,Reviewed in India on 24 August 2021,Phone is good,"
  Quality of the camera is not as expected but battery life is good and fingerprint and touch is very fluent
",,3.0 out of 5 stars
madan,Reviewed in India on 24 August 2021,Finest in the range,"
  Macro mode was brilliant
",,4.0 out of 5 stars
anand,Reviewed in India on 24 August 2021,Waste of money.,"
  Pls don't buy any of samsung as it's a waste of money product... most of it you get will get defected soon..like leakage of colour on screen , hanging issue...and many more.
",,1.0 out of 5 stars
Amit Ramesh Vispute,Reviewed in India on 24 August 2021,Great phone. Value for money,"
  Best photos
",One person found this helpful,5.0 out of 5 stars
Husnuddin k shaikh,Reviewed in India on 24 August 2021,Best phone,"
  Okay not bad
",,5.0 out of 5 stars
Mohit,Reviewed in India on 24 August 2021,Value for Money,"
  Good phone
",,4.0 out of 5 stars
Steve,Reviewed in India on 24 August 2021,Loved it,"
  I bought this for my dad, and he is loving it
",,5.0 out of 5 stars
santhuganimakki,Reviewed in India on 24 August 2021,Just super,"
  I like this
",,5.0 out of 5 stars
Ashok Kumar,Reviewed in India on 24 August 2021,Go for it,"
  Good for the buck paid
",,5.0 out of 5 stars
Subhendu Satpati,Reviewed in India on 24 August 2021,Nice product,"
  Very nice
",,4.0 out of 5 stars
A PETER,Reviewed in India on 24 August 2021,Good I recommend it,"
  Good
",,3.0 out of 5 stars
RANAJOY,Reviewed in India on 24 August 2021,"Samsung is Samsung, unbelievable.","
  Highly recommended
",,5.0 out of 5 stars
Satyawansingh,Reviewed in India on 24 August 2021,Good,"
  Good 👍👍👍👍
",,4.0 out of 5 stars
Jabir ali,Reviewed in India on 24 August 2021,Camera,,,4.0 out of 5 stars
Ameen Siddiqui,Reviewed in India on 23 August 2021,Phone screen got broken,"
  Screen quality on good
",,2.0 out of 5 stars
Manoj,Reviewed in India on 23 August 2021,Worst,"
  Charger not working after 8 moths don't buy friends
",,1.0 out of 5 stars
Ann b.,Reviewed in India on 23 August 2021,The mobile restart automatically and frequently and it is very annoying,"
  It is slow, Mobile automatically got restarted or switched off.
",,5.0 out of 5 stars
Elizabeth Dorphin Lopez,Reviewed in India on 23 August 2021,Bad product,"
  I changed my phone display several times during warranty period..finally i did it from outside shop... Bad support from samsung customer care... Very very disappointed... Do better option
",,4.0 out of 5 stars
Saurabh Patil,Reviewed in India on 23 August 2021,Don't Buy,"
  Don't buy Any M and A series mobile of samsung. After 15 months it gives issue for all samsung phones specially M and A series. Automatically restart the phone again and again. I see this issue in lots of mobile After 15 month you don't have any warranty. If you go to samsung care they said it have motherboard issue almost 8000 charge for resolving this issue. This is my Humble request to who are purchase the samsung mobile please think again..
",,1.0 out of 5 stars
Vishav Singh,Reviewed in India on 23 August 2021,good performamce,"
  good performance till.date
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 23 August 2021,vibration not working,"
  Vibration not working
",,1.0 out of 5 stars
Azmat A.,Reviewed in India on 23 August 2021,Nice phone in 15k budget,"
  Fingerprint reader is fast, initially it takes time to register fingerprint but once it is configured everything is smooth. Battery life is well enough to juice 2 days for normal use and it charges fast. Camera is good, I am not into photos but clicked 4-5 images and it all looks wow. Overall a good phone
",,5.0 out of 5 stars
abhijit karandikara,Reviewed in India on 23 August 2021,Good,"
  Good configuration for requirements
",,5.0 out of 5 stars
Apoorva,Reviewed in India on 23 August 2021,facing  problem,"
  facing  problem  regarding network and unable to hear properly,it hangs regulalry
",,1.0 out of 5 stars
Vipul Anand,Reviewed in India on 23 August 2021,So slow..,"
  Worst phone i ever brought.This phone is so slow that even tortoise can win a race for its processing.
",,1.0 out of 5 stars
Debojyoti Patra,Reviewed in India on 23 August 2021,#Never ever buy any samsung mid range phone(10k-20K),"
  I bought this phone in July'2020..But in Aug'21(just 1 month after my warranty over), the phone suddenly stopped working(It got stuck into its restart mode where it just showed the logo and then it will not start)..First I went to samsung authorize service centre(i am not sure how reliable they are) in bangalore..They took my phone and in the evening said that the motherboard has gone and you have to pay 8500/- to repair it..I am not sure wheather they did any check or just random say this..Now there is no point to invest around 70% of total amount for repair which will provide me 3 months warranty.Then I checked with 3/4 local shop owners and they said that this is the common problem with samsung(specifically M series which sold online).So guys be aware!!! Dont go by the SAMSUNG brand name.Take your decision wisely,becuase it is your hard earned money...**Btw i am not a heavy mobile user..i use my mobile mainly for check email,call and sometime for watching some series on OTT platform..
",,1.0 out of 5 stars
Amazon Customer,Reviewed in India on 23 August 2021,very disspointed with quality of samsung.,"
  im used this phone for one year and also recommend to my friends but after a year everyone face the issue of motherboard failure now im also suffering for same issue Samsung gallery offer 8000 for repair. there are 7 people around me who faced this issue, very disspointed with quality of samsung.
",,1.0 out of 5 stars
G T M,Reviewed in India on 23 August 2021,Very cheap quality,"
  Whithin 7 months, dark colour patches on screen.company service centre not giving repairs in warranty..asking for 4500 rs for screen replacement and that too without warranty... online sites are also not taking it under exchange for new mobile. Now it is a complete waste. don't buy
",,1.0 out of 5 stars
faiz khan,Reviewed in India on 23 August 2021,M series are Pathetic,"
  M series Mobile are worst among all mobiles.
",,1.0 out of 5 stars
Amazon Customer,Reviewed in India on 23 August 2021,Ripoff in the name of samsung,"
  Motherboard of the phone got fried up. Have used several phones but have next experienced such a problem. Apparently this is a common problem with this phone.
",,1.0 out of 5 stars
shekh shafik,Reviewed in India on 23 August 2021,Value of money,"
  Fine
",,5.0 out of 5 stars
Prem Sagar,Reviewed in India on 23 August 2021,It is good product so far..,"
  I like it's battery back up during call
",,4.0 out of 5 stars
Harihar,Reviewed in India on 23 August 2021,Display - black screen in 5 months of product use,"
  I bought this product in March 2021 and in Aug the display stopped working leading to a black screen and no display. There is no crack or external damage. When I contacted Samsung service center, they tell me that display screen is not covered in warranty and I paid one fourth of phone price to get it repaired.
",,1.0 out of 5 stars
ANKIT THAKOR,Reviewed in India on 23 August 2021,good but Samsung never solved hang problem,"
  good but samsung never solved hang problem
",,4.0 out of 5 stars
Lb vavadiya,Reviewed in India on 23 August 2021,Good for this range.,"
  Poor camera quality.
",,5.0 out of 5 stars
Amazon Customer,Reviewed in India on 23 August 2021,Worst mobile for it price,"
  Battery charging is too slow. Took more than 6 hours to recharge and app is too slow to open. Camera is very average. Not worth for money. Pls don’t consider other reviews. I faced lot of problem
",,1.0 out of 5 stars
Shubham agarwal,Reviewed in India on 23 August 2021,Good product,"
  Product in budget
",,4.0 out of 5 stars
Virender Kumar,Reviewed in India on 23 August 2021,Services are very very poor.Makes false reason & dont provide warranty for costly parts.,"
  Services are very very poor.Costly item/parts they dont cover in warranty.Makes false reason & dont provide warranty for costly parts.
",,1.0 out of 5 stars
Samuel T.,Reviewed in India on 23 August 2021,Good Purchase. I got 2,"
  I bought for my MIL then for her sister. Good for senior citizens
",,5.0 out of 5 stars
Aditi Chowdhury,Reviewed in India on 23 August 2021,Good,,,5.0 out of 5 stars
vinnu,Reviewed in India on 23 August 2021,Worst Experience with samsung.,"
  You Can't use this set for more than 1 year, any problem may arise  like courrpted software or mother board failure any thing like this may happen. with the service charges you can purchase other brand new phone.
",,3.0 out of 5 stars
vinnu,Reviewed in India on 23 August 2021,Worst Experience with samsung.,"
  You Can't use this set for more than 1 year, any problem may arise  like courrpted software or mother board failure any thing like this may happen. with the service charges you can purchase other brand new phone.
",,3.0 out of 5 stars
Jose,Reviewed in India on 23 August 2021,Good phone,"
  V good pho6
",,5.0 out of 5 stars
rajkumar ks,Reviewed in India on 23 August 2021,Worst experience in battery stability,"
  When mobile in ideal drinking battery charge(network data off mode), previously I used moto one power compare to this product battery consumption very disappointed 😞.
",,3.0 out of 5 stars
Abhinav,Reviewed in India on 23 August 2021,good phone,"
  a best phone for elderly people and for people who have minimal use only, 1.5 day battery can be expected with medium usage, great display , great sound but that clear for that volume levels, would definitely recommend you to buy if you have limited usage , also try other products in Samsung in this price point as this phone model is 1year old , try new models also.
",,5.0 out of 5 stars
Muralidharan k,Reviewed in India on 23 August 2021,Not a good one,"
  I have purchased the samsung M31 in 12th May 2021.  Within few month of operation the navigation bar is not working.  Called the samsung remote support,  but could not find the problem.  The good part in samsung is service,  the remote support team coordinated with the local service team and arranged the onsite support (charging Rs.199 for pickup & drop the mobile).  Look like a software bug,  waiting for the service team comment.
",,2.0 out of 5 stars
Sidhartha Roy,Reviewed in India on 23 August 2021,Didn't last even a year,"
  Ordered it online in July, 2020 and by August  2021, it stopped working. Not ordering a mobile phone online again.
",,1.0 out of 5 stars
AZAZ HUSSAIN AB,Reviewed in India on 23 August 2021,Best mobile,"
  Best
",,5.0 out of 5 stars
vikram,Reviewed in India on 23 August 2021,.,"
  Value of money
",,5.0 out of 5 stars
Dharmendra Tripathi,Reviewed in India on 23 August 2021,"Worst phone, touch isn't working from the day product delivered","
  Worst phone, touch isn't working from the day product delivered.Request to return the item but Amazon booked an device inspection instead of returning the item.Worst experience.
",,1.0 out of 5 stars
Rajesekar Kuppusamy,Reviewed in India on 23 August 2021,Headphone not there in box.,"
  Headphone not there in box. how do i get?
",,4.0 out of 5 stars
GovindarajanD,Reviewed in India on 23 August 2021,"Its so good, go for it!","
  I have been using this phone for 7 months and it is excellent.Pros:1. Battery - After buying this phone,  I stopped looking for a charger frequently. I use my phone in a medium range - Some browsing, gaming and music. Even with medium usage, a full charge lasts for 2 to 2.5 days.2. Camera - Camera quality is very good. Make sure to use 64MP as it is not default in 16:9.3. Performance - I play CoD and the performance is good. There is no heating issue as well.4. Build quality - I have used spigen rugged armour case for my phone and it holds the phone very well. I had dropped my phone face down 4-5 times, but not even a scratch on the screenCons:1. Back of the phone is little slippery. If you use a case then this won't be an issue for you.
",,5.0 out of 5 stars
Abhishek jadhav,Reviewed in India on 23 August 2021,Good camera,"
  Price for money with a brand name
",,5.0 out of 5 stars
GM,Reviewed in India on 23 August 2021,Excellent phone,"
  Value for money, fast and very good camera.
",,5.0 out of 5 stars
Kansara krunal,Reviewed in India on 23 August 2021,Phone faulty within a months time M31,"
  Samsung mobile is our first preferred brand when it comes on mobile,But I regret to inform you that above mentioned product has disappointed me a lot , as within months time I faced Motherboard failure and phone was dead within a month,Since it was under warranty Samsung Service Center has replaced the faulty part and returned the phone after keeping it for one week,As a loyal customer of Samsung mobile phone I would like to request replacement of phone as it was faulty within a months time,As I have spent Rs. 17k( approx) , which is huge amount for a normal people like us,After spending a huge amount we need to now use repaired/replaced part phone.Hope u will consider my above request for replacement of Phone, to keep faith and trust in samsung brandAwaiting of your favorable replay,Thanking you,Krunal Kansara
",,1.0 out of 5 stars
Dechen bhutia,Reviewed in India on 23 August 2021,"Phone packing is good ,but no phone cover,no temprr glass","
  No temperglass,no phone cover that's the problem..all over good product,phone is good
",,5.0 out of 5 stars
NR,Reviewed in India on 23 August 2021,Great battery,"
  Battery is the best part of the phone. The battery experience has been unreal. 2nd best part I would say is the performance as I never encountered any sort of lag in my one year of usage. screen is also a wonderful  amoled panel and does not disappoint. overall a great package at this price range
",,5.0 out of 5 stars
santhanakumar s,Reviewed in India on 23 August 2021,WORTH FOR MONEY BUT BATERY LIFE IS NORMAL,"
  nice for user friendly, but battery life is normal good display
",,4.0 out of 5 stars
amitkumar,Reviewed in India on 23 August 2021,"Gift wrap is bad , product is worth it","
   Gift wrap is totally 3rd class dont go for gift wrapping. I am not able to give gift in this condition of wrap
",,4.0 out of 5 stars
Krishna M.,Reviewed in India on 23 August 2021,Are u a heavy user? Don't dare 😤to buy it.,"
  After 10 days review i can say that its not recommended for heavy users..only +point is that its display ..and i tell u the samsungs ui is worst as expected..
",,3.0 out of 5 stars
Ajay Jatav,Reviewed in India on 23 August 2021,We are unhappy with New and later replaced both have manufacturing defects and used,"
  We had ordered Samsung M31, when we checked after delivery we found that there is manufacturing defect from seller in this mobike related to finger print sensor, as you see photo 1, and when we informed about this to amazon they replaced the product and delivered and again we received the used mobiie and this is the standard of samazon when we put our money to them, even after many years they can't improved the quality of electronic items, I experienced multiple times and still they don't have the amazon check before delivery and don't have the seller standard category so that they can only prefer seller with good records and less replacements.
",One person found this helpful,1.0 out of 5 stars
Arun B Vasava,Reviewed in India on 23 August 2021,Display problems,"
  Mobile display is with problems. Sometimes the lines seems on display. What is the solution?
",,4.0 out of 5 stars
Shruthi Rasam,Reviewed in India on 23 August 2021,Nice phone with good price.,"
  Nice phone with good price, except battery is draining fast than other phones and sometimes it's restarts its own. Camera quality is good. Fingerprint sensor not working faster
",,3.0 out of 5 stars
Priti,Reviewed in India on 23 August 2021,Poor performance,"
  Product is not behaving as written on website. Received piece has heating issues, battery charging issues (takes 3 -4 hours for full charge), battery issues (discharges after 24 hours). I am not at all happy with delivered product.
",,2.0 out of 5 stars
Suhail PT,Reviewed in India on 23 August 2021,10 days..dead..,"
  After 2 weeks of the usage....not working... dead...Disappointed..
",,1.0 out of 5 stars
Vivdimri,Reviewed in India on 23 August 2021,Phone is above average,"
  I bought samsung M31 6gb 128gb phone around 18months ago, overall it performed well but it had heating problem and one day my phone got hang and end up with motherboard problem which service center guy told my motherboard need to be change and would cost around 8000. I never played games on phone hardly talk 1-2hours thought day. I did watch videos (1-2 movies) sometimes on prime and Netflix that is heaviest work done by my phone. Don't know what cause damage my phone'ius motherboard. Sometime phone also had network issues (4g internet) in both idea and jio sim.Otherwise phone work smooth and functinaliy was satisfactory btw I prefer instead repairing buy new phone and that is not samsung.
",,3.0 out of 5 stars
Noname,Reviewed in India on 23 August 2021,Speaker's quality too bad 👎charger's quality also too bad,"
  Speaker's quality too bad 👎charger's quality also too bad
",,1.0 out of 5 stars
Ankit Mahato,Reviewed in India on 23 August 2021,Motherboard issue,"
  This phone doesn’t even worked for an year. It got motherboard issue. I would suggest buy some other brand phones at this range.
",,1.0 out of 5 stars
Barun Maiti,Reviewed in India on 23 August 2021,Sound quality best,"
  All opption is best
",,5.0 out of 5 stars
babu,Reviewed in India on 23 August 2021,Good,,,4.0 out of 5 stars
Atanu Kumar Ranajit,Reviewed in India on 23 August 2021,Excellent ..,"
  Close ur eyes & go for it .. using over 1 year without any issue ..
",,5.0 out of 5 stars
Atanu Kumar Ranajit,Reviewed in India on 23 August 2021,Excellent ..,"
  Close ur eyes & go for it .. using over 1 year without any issue ..
",,5.0 out of 5 stars
SaikrishnaReddy,Reviewed in India on 23 August 2021,Worst product don't buy....,"
  Cell ready for omlet maker... If u want to use take one AC also...Worst product never seen..Within one year display also gone..They maybe not solve my problem also
",,4.0 out of 5 stars
Rajakumar,Reviewed in India on 23 August 2021,Ok,"
  Ok for this price
",,3.0 out of 5 stars
Atul Kumar,Reviewed in India on 22 August 2021,Worst phone,"
  Worst phone... Please do not buy... This is my second Samsung phone in last 21 years and both Samsung phone was waste... This has antenna problem... The call will stop coming and the person calling will tell you afterwards that the automated Voice says number you are calling is out of coverage area.. which you're not... Suddenly you won't be able to call anyone then you need to restart your phone... I believe the low range phones are not good in Samsung to buy..
",,2.0 out of 5 stars
GANJI SANJEEV,Reviewed in India on 22 August 2021,Nice,"
  Nice
",,5.0 out of 5 stars
Kabilan,Reviewed in India on 22 August 2021,Value for money,"
  Good one for the rateBattery is good.User friendly friendly elders
",,5.0 out of 5 stars
pavan ojha,Reviewed in India on 22 August 2021,Samsung m31 mobile is verry poor,"
  सेमसंग मोबाइल m31 नेटवर्क ईशु  रहता है इसका केयर भी मदद नही करता है बहुत बकवाश कंम्पनी है
",,1.0 out of 5 stars
Shiva,Reviewed in India on 22 August 2021,Screen is very weak...not recommended,"
  Had a big crack on the screen just after 7 days of purchase when dropped from 1 ft height...fragile screen although other features are okay..not recommended at all.
",,1.0 out of 5 stars
Rupak Kumar Nath,Reviewed in India on 22 August 2021,Great phone according to price.,"
  It would be better if you provide 25 watt charger in the box and a case atleast.
",,5.0 out of 5 stars
Krupa Makwana,Reviewed in India on 22 August 2021,"Defective pieces , don't buy","
  These people are cheating . Don't buy this phone. Selling defective phones. And after delivery too not proper service.
",,1.0 out of 5 stars
Amazon Customer,Reviewed in India on 22 August 2021,I personally don't recommend this phone,"
  I personally don't recommend Samsung to anyone in my life time. I bought this phone 1 year back and it was really super to use, camera quality everything was fine.  But exactly after 1 year Samsung pushed an software update after a week my phone was total gone. It just shutdown frequently and stopped working. When I visited Samsung service center, they had a nice answer as phone warranty was over, it is 1 yr 1 month now. Motherboard issue so you need to spend around 10k to change. This is my second Samsung phone exactly the same issue. Please don't buy Samsung or just a have thought if anything happens after an year you should forget about Samsung support and spend your own money.
",,1.0 out of 5 stars
manoj murudi,Reviewed in India on 22 August 2021,Nice product,"
  Worth paying
",,4.0 out of 5 stars
Aniruddha Chattaraj,Reviewed in India on 22 August 2021,Shelf life 1 year,"
  I am pretty much disappointed with M31. Bought the phn on 6th aug,2020 and just after 1 year and exceeding the warranty period (17th aug,2021) it is getting automatically restarted within every 5-10 mins. Even in the safe mode, after factory reset and software change it is giving same problem. Service center people asked me to replace the mother board of this almost new phone, which costs 7000 rs.They asked me,why I did not buy extended warranty. Please avoid this product of samsung. There are many videos in youtube,which shows this problem and provide solution,which does not help unfortunately but I am trying to say this is a genuine problem for this product. PLEASE IGNORE THIS PRODUCT.
",,1.0 out of 5 stars
Jenil V Boopathy ,Reviewed in India on 22 August 2021,Ok,"
  Good
",,4.0 out of 5 stars
SONALI PATNAIK,Reviewed in India on 22 August 2021,Best,"
  Good phone in this budget
",,4.0 out of 5 stars
R.kannan,Reviewed in India on 22 August 2021,Superb product for money paid,"
  Camera is superb and battery life long
",,5.0 out of 5 stars
hiten vadgama,Reviewed in India on 22 August 2021,Front camera not proper work,"
  Front camera not proper work and taken pic was blud
",,3.0 out of 5 stars
Jaideep Chowdhury,Reviewed in India on 22 August 2021,Good buy,"
  Good battery life, good resolution.
",,5.0 out of 5 stars
ritik raj,Reviewed in India on 22 August 2021,Love this Samsung Galaxy M31,"
  Can't believe this level of features in this price range.Love this product and thank u amazon and Samsung for providing this amazing product.
",,5.0 out of 5 stars
Jagdeesh Naik,Reviewed in India on 22 August 2021,WORST,"
  WORST. Not working for a second, when it's made ON. Goes off suddenly. Showd to local SAMSUNG Service Centre, they said get it replaced, since it is bought through AMAZON.
",,1.0 out of 5 stars
sagar,Reviewed in India on 22 August 2021,Good,"
  Not bad
",,4.0 out of 5 stars
Amazon Customer,Reviewed in India on 22 August 2021,Good one,"
  Good one
",,4.0 out of 5 stars
Anuj jain,Reviewed in India on 22 August 2021,Good,"
  Good
",,5.0 out of 5 stars
Ramakrishnan Rajaram,Reviewed in India on 22 August 2021,A beautiful product at an affordable price.,"
  Speed is good and so is the memory. Looks very good.
",,4.0 out of 5 stars
Aarif Husain,Reviewed in India on 22 August 2021,Best phone ever,"
  Is se accha phone nhi dekha yr is price me .. bettery ki mst chalti h yr ..
",,5.0 out of 5 stars
Bonfresh,Reviewed in India on 22 August 2021,Nice phone. It's SAMSUNG,"
  I like SAMSUNG 👍♥
",,5.0 out of 5 stars
being_human89,Reviewed in India on 22 August 2021,Great purchase,"
  Value for money
",,4.0 out of 5 stars
Monesh patidar,Reviewed in India on 22 August 2021,Ya,"
  Ya
",,5.0 out of 5 stars
Kiran,Reviewed in India on 22 August 2021,Worst Samsung mobiles,"
  Writing review after 4 month. Mobile stopped working after 4 month. touch panel is malfunction. weird thing is 4 hour before touch panel stopped and after charging i notice that screen color started spreading. this happen when mobile is drop but in my case, mobile is not dropped and still it's happening. I faced similar malfunction in my earlier Samsung phone which last for 13 month and this one worst than that. Do not buy this model. looks like Samsung is reducing quality. My 3rd last phone (which also Samsung) was with me for 4 years and I changed it for phone memory size.Samsung service center claim that device is damage without opening it. They are good.I like to say goodbye to samsung as I am not going to purchase any more samsung phone. I used multiple samsung phones in last 12 years but phone quality is dropping and hence I am going to stop buying samsung phones. Worst product.
",,1.0 out of 5 stars
Mehran Rohe,Reviewed in India on 22 August 2021,Cheap plastic body,"
  Cheap quality of plastic usedNetflix videos not working (only audio)Hangs continuesly
",,2.0 out of 5 stars
Prabhakaran K,Reviewed in India on 21 August 2021,Why the phone is restart again and again and at last it is held in hang posisition.,"
  The phone is not working properly.  Every time it is in restart  mode and in hang position within the warranty period it self. I am not recommending to purchase this phone due above frequent problem. It is a waste. I have purchased the phone with good faith on Samsung mobile.
",One person found this helpful,1.0 out of 5 stars
Himesh,Reviewed in India on 21 August 2021,Nice,"
  Nice
",,5.0 out of 5 stars
prakhar parth,Reviewed in India on 21 August 2021,Bad experience,"
  Not a reliable product
",,1.0 out of 5 stars
Chandrakant mistry,Reviewed in India on 21 August 2021,Battery is very good long life,"
  Good mobile
",,4.0 out of 5 stars
